Competency id,Name,Date Created
1,Computer Anatomy,2024-01-01
2,Data Types,2024-01-02
3,Variables,2024-01-03
4,Functions,2024-01-04
5,Boolean Logic,2024-01-05
6,Conditionals,2024-01-06
7,Loops,2024-01-07
8,Data Structures,2024-01-08
9,Lists,2024-01-09
10,Dictionaries,2024-01-10
11,Working with Files,2024-01-11
12,Exception Handling,2024-01-12
13,Quality Assurance (QA),2024-01-13
14,Object-Oriented Programming,2024-01-14
15,Recursion,2024-01-15
16,Databases,2024-01-16
17,test test,04/17/24
18,add user,04/23/24
